!SIL 1.0	sil
<UNK> 1.0	spn
żal	1.0	Z a l
craig	1.0	c r a i g
no	1.0	n o
interpretacji	1.0	i n t e r p r e t a c j i
tysięcy	1.0	t i2 sj eo5 c i2
przywitaj	1.0	p S i2 v i t a j
oferty	1.0	o f e r t i2
dziale	1.0	dzj a l e
potykam	1.0	p o t i2 k a m
przerąbała	1.0	p S e r oc5 b a w a
talent	1.0	t a l e n t
później	1.0	p u zj n i e j
świętej	1.0	sj v i eo5 t e j
uobecniasz	1.0	u o b e c n i a S
płytkiej	1.0	p w i2 t k i e j
małgorzata	1.0	m a w g o Z a t a
czynu	1.0	tS i2 n u
która	1.0	k t u r a
uderzenie	1.0	u d e Z e n i e
spustoszył	1.0	s p u s t o S i2 w
sceniczna	1.0	s c e n i tS n a
warunkach	1.0	v a r u n k a h
graną	1.0	g r a n oc5
masło	1.0	m a s w o
czymś	1.0	tS i2 m sj
liturgicznego	1.0	l j t u r g i tS n e g o
toczyło	1.0	t o tS i2 w o
akompaniamencie	1.0	a k o m p a n i a m e n tsj e
fabryki	1.0	f a b r i2 k i
oknie	1.0	o k n i e
przesmyki	1.0	p S e s m i2 k i
poniósłszy	1.0	p o n i u s w S i2
budzić	1.0	b u dzj i tsj
chciałbym	1.0	h tsj a w b i2 m
drzemie	1.0	d Z e m i e
akcją	1.0	a k c j oc5
wyznacza	1.0	v i2 z n a tS a
patronatem	1.0	p a t r o n a t e m
próbowałem	1.0	p r u b o v a w e m
biodrami	1.0	b i o d r a m i
mycia	1.0	m i2 tsj a
kropki	1.0	k r o p k i
mamę	1.0	m a m e
kartezjuszu	1.0	k a r t e z j u S u
serio-	1.0	s e r j o
potraw	1.0	p o t r a v
przeciw	1.0	p S e tsj i v
anti	1.0	a n t j
wykształcona	1.0	v i2 k S t a w c o n a
puzonie	1.0	p u z o n i e
faktu	1.0	f a k t u
niesprawiedliwych	1.0	n i e s p r a v i e d l j v i2 h
wzywając	1.0	v z i2 v a j oc5 c
zanim	1.0	z a n i m
łut	1.0	w u t
przychodzą	1.0	p S i2 h o dz oc5
uproś	1.0	u p r o sj
autorskiego	1.0	a u t o r s k i e g o
miliona	1.0	m i l j o n a
środków	1.0	sj r o t k u v
uczyni	1.0	u tS i2 n i
spiskowiec	1.0	s p i s k o v i e c
piwie	1.0	p i v i e
chcąc	1.0	h c oc5 c
wzruszyłam	1.0	v z r u S i2 w a m
nobla	1.0	n o b l a
odpowiadać	1.0	o d p o v i a d a tsj
raz	1.0	r a z
wyrażalne	1.0	v i2 r a Z a l n e
cieszącego	1.0	tsj e S oc5 c e g o
służbę	1.0	s w u Z b e
połączone	1.0	p o w oc5 tS o n e
wyrobionej	1.0	v i2 r o b i o n e j
której	1.0	k t u r e j
przeciętnej	1.0	p S e tsj eo5 t n e j
ważnym	1.0	v a Z n i2 m
sztuka	1.0	S t u k a
estée	1.0	e s t e
polskimi	1.0	p o l s k i m i
dłużej	1.0	d w u Z e j
atakowanego	1.0	a t a k o v a n e g o
i'm	1.0	i m
wypowiedzi	1.0	v i2 p o v i e dzj i
nieco	1.0	n i e c o
nad	1.0	n a d
ulubione	1.0	u l u b i o n e
podróżować	1.0	p o d r u Z o v a tsj
okrucieństwo	1.0	o k r u tsj e n~ s t f o
pewności	1.0	p e v n o sj tsj i
ubóstwa	1.0	u b u s t f a
młodej	1.0	m w o d e j
fałsz	1.0	f a w S
chciałabyś	1.0	h tsj a w a b i2 sj
noszone	1.0	n o S o n e
rzadziej	1.0	Z a dzj e j
www	1.0	v v v
freuda	1.0	f r e u d a
jukatan	1.0	j u k a t a n
powozem	1.0	p o v o z e m
oszczędności	1.0	o S tS eo5 d n o sj tsj i
prokuratorem	1.0	p r o k u r a t o r e m
zaimplementowane	1.0	z a i m p l e m e n t o v a n e
dolegliwości	1.0	d o l e g l j v o sj tsj i
wife's	1.0	v i f e s
godzinie	1.0	g o dzj i n i e
przyjaźń	1.0	p S i2 j a zj n~
naturalne	1.0	n a t u r a l n e
nogi	1.0	n o g i
tradycyjne	1.0	t r a d i2 c i2 j n e
sprawne	1.0	s p r a v n e
rolę	1.0	r o l e
dziewczyny	1.0	dzj e v tS i2 n i2
wśród	1.0	v sj r u d
schodzę	1.0	s h o dz e
saula	1.0	s a u l a
zniszczenie	1.0	z n i S tS e n i e
grobów	1.0	g r o b u v
legat	1.0	l e g a t
szerokość	1.0	S e r o k o sj tsj
wielkość	1.0	v i e l k o sj tsj
odporności	1.0	o d p o r n o sj tsj i
wzięto	1.0	v zj eo5 t o
wysyłali	1.0	v i2 s i2 w a l j
pierwszym	1.0	p i e r v S i2 m
największe	1.0	n a j v i eo5 k S e
tamtym	1.0	t a m t i2 m
filmowym	1.0	f i l m o v i2 m
użytkownik	1.0	u Z i2 t k o v n i k
więcej	1.0	v i eo5 c e j
wodna	1.0	v o d n a
instynktów	1.0	i n s t i2 n k t u v
przystaje	1.0	p S i2 s t a j e
urana	1.0	u r a n a
zakopać	1.0	z a k o p a tsj
that	1.0	t h a t
łyków	1.0	w i2 k u v
topniały	1.0	t o p n i a w i2
fotooferty	1.0	f o t o o f e r t i2
skórze	1.0	s k u Z e
ludzkości-	1.0	l u dz k o sj tsj i e
stały	1.0	s t a w i2
sadzenia	1.0	s a dz e n i a
sceny	1.0	s c e n i2
załamuje	1.0	z a w a m u j e
mocy	1.0	m o c i2
krwawnika	1.0	k r v a v n i k a
błyskawica	1.0	b w i2 s k a v i c a
przy	1.0	p S i2
zwierzątka	1.0	z v i e Z oc5 t k a
daj	1.0	d a j
komisy	1.0	k o m i s i2
bojowe	1.0	b o j o v e
wzrok	1.0	v z r o k
ekonomiczne	1.0	e k o n o m i tS n e
odkrywczy	1.0	o t k r i2 v tS i2
rozbrzmiewało	1.0	r o z b Z m i e v a w o
odwrotnie-	1.0	o d v r o t n i e e
udoskonalił	1.0	u d o s k o n a l j w
namacalna	1.0	n a m a c a l n a
tle	1.0	t l e
żoną	1.0	Z o n oc5
tłuściejsze	1.0	t w u sj tsj e j S e
does	1.0	d o e s
dobrodziejstwem	1.0	d o b r o dzj e j s t f e m
takiej	1.0	t a k i e j
dziewczyna	1.0	dzj e v tS i2 n a
księdza	1.0	k sj eo5 dz a
łza	1.0	w z a
zapowiedzi	1.0	z a p o v i e dzj i
programem-	1.0	p r o g r a m e m e
świnia	1.0	sj v i n i a
pobratymca	1.0	p o b r a t i2 m c a
większą	1.0	v i eo5 k S oc5
pasuje	1.0	p a s u j e
uśmiechnij	1.0	u sj m i e h n i j
domowego	1.0	d o m o v e g o
abstrakcyjną	1.0	a b s t r a k c i2 j n oc5
przepisywano	1.0	p S e p i s i2 v a n o
danych	1.0	d a n i2 h
także	1.0	t a g Z e
zapalonych	1.0	z a p a l o n i2 h
święcie	1.0	sj v i eo5 tsj e
wyjaśnić	1.0	v i2 j a sj n i tsj
orb	1.0	o r b
napisane	1.0	n a p i s a n e
pola	1.0	p o l a
edessy	1.0	e d e S i2
mógłby	1.0	m u g w b i2
mussoliniego	1.0	m u S o l j n i e g o
własnych	1.0	v w a s n i2 h
inni	1.0	i n n i
robić	1.0	r o b i tsj
bo	1.0	b o
strojach	1.0	s t r o j a h
pomorską	1.0	p o m o r s k oc5
mgnienie	1.0	m g n i e n i e
wykorzystywane	1.0	v i2 k o Z i2 s t i2 v a n e
nadzieją	1.0	n a dzj e j oc5
wykonaj	1.0	v i2 k o n a j
widziałem	1.0	v i dzj a w e m
kościelną	1.0	k o sj tsj e l n oc5
prześpię	1.0	p S e sj p i e
wielkiego	1.0	v i e l k i e g o
lektura	1.0	l e k t u r a
astronom	1.0	a s t r o n o m
zlicza	1.0	z l j tS a
książka	1.0	k tsj oc5 Z k a
podstawówce	1.0	p o d s t a v u v c e
wspaniałomyślność	1.0	v s p a n i a w o m i2 sj l n o sj tsj
połowy	1.0	p o w o v i2
dodatkową	1.0	d o d a t k o v oc5
nadać	1.0	n a d a tsj
sympatia	1.0	s i2 m p a t j a
niechęci	1.0	n i e h eo5 tsj i
konieczności	1.0	k o n i e tS n o sj tsj i
dramat	1.0	d r a m a t
księcia	1.0	k sj eo5 tsj a
klatkę	1.0	k l a t k e
niebios	1.0	n i e b i o s
jeżeli	1.0	j e Z e l j
piersi	1.0	p i e r sj i
jeden	1.0	j e d e n
ideologiczną	1.0	i d e o l o g i tS n oc5
kreona	1.0	k r e o n a
zmieścić	1.0	z m i e sj tsj i tsj
dożywocie	1.0	d o Z i2 v o tsj e
opowiada	1.0	o p o v i a d a
gołębia	1.0	g o w eo5 b i a
kółkach	1.0	k u w k a h
prezydent	1.0	p r e z i2 d e n t
manifestować	1.0	m a n i f e s t o v a tsj
łuk	1.0	w u k
błyskawice	1.0	b w i2 s k a v i c e
zakończenie	1.0	z a k o n~ tS e n i e
rzeź	1.0	Z e zj
unikam	1.0	u n i k a m
akcesoria	1.0	a k c e s o r j a
niezbędnym	1.0	n i e z b eo5 d n i2 m
słowa	1.0	s w o v a
wiódł	1.0	v i u d w
prawdy	1.0	p r a v d i2
prawie	1.0	p r a v i e
przekonaniu	1.0	p S e k o n a n i u
pokusy	1.0	p o k u s i2
przeświadczenie	1.0	p S e sj v i a d tS e n i e
zarabiać	1.0	z a r a b i a tsj
gestem	1.0	g e s t e m
komputerów	1.0	k o m p u t e r u v
perswazji	1.0	p e r s v a z j i
gędził	1.0	g eo5 dzj i w
czynszowe	1.0	tS i2 n S o v e
publicznym	1.0	p u b l j tS n i2 m
wyjdziesz	1.0	v i2 j dzj e S
dbali	1.0	d b a l j
rozdzielczości	1.0	r o z dzj e l tS o sj tsj i
zostali	1.0	z o s t a l j
wyprostuj	1.0	v i2 p r o s t u j
refleksji	1.0	r e f l e k s j i
życiem	1.0	Z i2 tsj e m
bytu	1.0	b i2 t u
wziął	1.0	v zj oc5 w
reagowałeś	1.0	r e a g o v a w e sj
kwantowymi	1.0	k f a n t o v i2 m i
aforyzmy	1.0	a f o r i2 z m i2
niespodzianej	1.0	n i e s p o dzj a n e j
zakochanych	1.0	z a k o h a n i2 h
twoja	1.0	t f o j a
wiersza	1.0	v i e r S a
ujarzmienie	1.0	u j a Z m i e n i e
ułatwieniem	1.0	u w a t f i e n i e m
bestię	1.0	b e s t j e
startowałaś	1.0	s t a r t o v a w a sj
zamierzonego	1.0	z a m i e Z o n e g o
oceniona	1.0	o c e n i o n a
łez	1.0	w e z
razie	1.0	r a zj e
źródło	1.0	zj r u d w o
uwagę	1.0	u v a g e
mikrokosmosu	1.0	m i k r o k o s m o s u
piątym	1.0	p i oc5 t i2 m
kierownictwo	1.0	k i e r o v n i c t f o
górną	1.0	g u r n oc5
jednym	1.0	j e d n i2 m
przedstawimy	1.0	p S e d s t a v i m i2
spróbuję	1.0	s p r u b u j e
sojuszników	1.0	s o j u S n i k u v
redakcyjny	1.0	r e d a k c i2 j n i2
wiarę	1.0	v i a r e
zadowoliłaby	1.0	z a d o v o l j w a b i2
seks-maniaka	1.0	s e k s m a n i a k a
grałam	1.0	g r a w a m
gęsi	1.0	g eo5 sj i
quentin	1.0	k e n t j n
mojej	1.0	m o j e j
owego	1.0	o v e g o
krwawię	1.0	k r v a v i e
rozczarowaniem	1.0	r o z tS a r o v a n i e m
większe	1.0	v i eo5 k S e
mocnej	1.0	m o c n e j
skruchę	1.0	s k r u h e
wyciągnął	1.0	v i2 tsj oc5 g n oc5 w
wiadomo	1.0	v i a d o m o
rozprowadziła	1.0	r o z p r o v a dzj i w a
shoping	1.0	s h o p i n g
kąpieli	1.0	k oc5 p i e l j
jutro	1.0	j u t r o
argumenty	1.0	a r g u m e n t i2
atrybutami	1.0	a t r i2 b u t a m i
pełni	1.0	p e w n i
zdradzisz	1.0	z d r a dzj i S
zdradzić	1.0	z d r a dzj i tsj
komie	1.0	k o m i e
przede	1.0	p S e d e
ciemniejszych	1.0	tsj e m n i e j S i2 h
prośby	1.0	p r o sj b i2
przebaczającym	1.0	p S e b a tS a j oc5 c i2 m
ekranie	1.0	e k r a n i e
duże	1.0	d u Z e
policzki	1.0	p o l j tS k i
pytać	1.0	p i2 t a tsj
średni	1.0	sj r e d n i
chrochodylek	1.0	h r o h o d i2 l e k
subwoofer	1.0	s u b v o o f e r
wpływ	1.0	v p w i2 v
smartsuite	1.0	s m a r t s u i t e
też	1.0	t e S
